eventid,iyear,imonth,iday,approxdate,extended,resolution,country,country_txt,region,region_txt,provstate,city,latitude,longitude,specificity,vicinity,location,summary,crit1,crit2,crit3,doubtterr,alternative,alternative_txt,multiple,success,suicide,attacktype1,attacktype1_txt,attacktype2,attacktype2_txt,attacktype3,attacktype3_txt,targtype1,targtype1_txt,targsubtype1,targsubtype1_txt,corp1,target1,natlty1,natlty1_txt,targtype2,targtype2_txt,targsubtype2,targsubtype2_txt,corp2,target2,natlty2,natlty2_txt,targtype3,targtype3_txt,targsubtype3,targsubtype3_txt,corp3,target3,natlty3,natlty3_txt,gname,gsubname,gname2,gsubname2,gname3,ingroup,ingroup2,ingroup3,gsubname3,motive,guncertain1,guncertain2,guncertain3,nperps,nperpcap,claimed,claimmode,claimmode_txt,claim2,claimmode2,claimmode2_txt,claim3,claimmode3,claimmode3_txt,compclaim,weaptype1,weaptype1_txt,weapsubtype1,weapsubtype1_txt,weaptype2,weaptype2_txt,weapsubtype2,weapsubtype2_txt,weaptype3,weaptype3_txt,weapsubtype3,weapsubtype3_txt,weaptype4,weaptype4_txt,weapsubtype4,weapsubtype4_txt,weapdetail,nkill,nkillus,nkillter,nwound,nwoundus,nwoundte,property,propextent,propextent_txt,propvalue,propcomment,ishostkid,nhostkid,nhostkidus,nhours,ndays,divert,kidhijcountry,ransom,ransomamt,ransomamtus,ransompaid,ransompaidus,ransomnote,hostkidoutcome,hostkidoutcome_txt,nreleased,addnotes,scite1,scite2,scite3,dbsource,INT_LOG,INT_IDEO,INT_MISC,INT_ANY,related
2.01201E+11,2012,1,1,,0,,229,Democratic Republic of the Congo,11,Sub-Saharan Africa,South Kivu,Shabunda,-2.694693,27.341538,2,0,,"01/01/2012: Assailants attacked a Congolese village in Shabunda territory, South Kivu province, Democratic Republic of the Congo. This was one of three attacks by the group in a two-day span. Eighteen people were killed in this attack, and 13 were wounded across all three. The Democratic Front for the Liberation of Rwanda (FDLR) claimed responsibility for the incidents, stating that they were in revenge for locals allying themselves with Raia Mutomboki, a local defense group.",1,1,1,0,,.,1,1,0,9,Unknown,7,Facility/Infrastructure Attack,,.,14,Private Citizens & Property,67,Unnamed Civilian/Unspecified,Not Applicable,Civilians,229,Democratic Republic of the Congo,,.,,.,,,,.,,.,,.,,,,.,Democratic Front for the Liberation of Rwanda (FDLR),,,,,20138,,,,"The attack by the Democratic Forces for the Liberation of Rwanda was in revenge for locals allying themselves with Raia Mutomboki, a local defense group.",0,,,-99,0,0,,.,,,.,,,.,,8,Incendiary,18,Arson/Fire,,.,,.,,.,,.,,.,,.,,18,0,0,4.34,0,0,1,3,Minor (likely < $1 million),-99,Six houses were damaged in this attack.,0,,,,,,,,,,,,,,.,,"Casualty numbers for this attack represent an equal division of a cumulative total of wounded across incidents 201201010013, 201201030040, and 201201030041.","""Rwandan Hutu rebels kill 26 in DR Congo: army,"" Agence France Presse, January 4, 2012.","""Rebels kill 26 in eastern Congo attacks - army,"" Reuters News, January 4, 2012.","""Congo: 45 Civilians Killed in South Kivu,"" The New York Times, January 6, 2012.",START Primary Collection,1,1,0,1,"201201030040, 201201030041"
2.01201E+11,2012,1,1,,0,,95,Iraq,10,Middle East & North Africa,Kirkuk,Qara Durra,35.46883,44.39098,2,0,,"01/01/2012: A sticky bomb attached to a civilian car detonated in Qara Durra area, Kirkuk, Iraq. One person was killed and four injured in the blast. No group claimed responsibility for the attack.",1,1,1,0,,.,0,1,0,3,Bombing/Explosion,,.,,.,14,Private Citizens & Property,67,Unnamed Civilian/Unspecified,Not Applicable,Civilians,95,Iraq,,.,,.,,,,.,,.,,.,,,,.,Unknown,,,,,-9,,,,,0,,,-99,0,0,,.,,,.,,,.,,6,Explosives/Bombs/Dynamite,16,Unknown Explosive Type,,.,,.,,.,,.,,.,,.,,1,0,0,4,0,0,1,3,Minor (likely < $1 million),-99,A vehicle was damaged in this attack.,0,,,,,,,,,,,,,,.,,,"""Civilian killed, 4 injured in Kirkuk blast,"" Aswat al-Iraq, January 2, 2012.",,,START Primary Collection,-9,-9,0,-9,
2.01201E+11,2012,1,1,,0,,153,Pakistan,6,South Asia,Khyber Pakhtunkhwa,Khwajarhi,32.929773,70.669266,2,0,Hameedi Road,"01/01/2012: Gunmen attacked the convoy of the vice president of the Awami National Party (ANP), Malik Sheroz Khan, in Khwajarhi village, Khyber Pakhtunkhwa province, Pakistan. Khan's bodyguards returned fire, injuring one attacker. No group claimed responsibility for the incident.",1,1,1,0,,.,0,0,0,1,Assassination,,.,,.,14,Private Citizens & Property,84,Political Party Member/Rally,Awami National Party (ANP),Vice President: Malik Sheroz Khan,153,Pakistan,,.,,.,,,,.,,.,,.,,,,.,Unknown,,,,,-9,,,,,0,,,-99,0,0,,.,,,.,,,.,,5,Firearms,5,Unknown Gun Type,,.,,.,,.,,.,,.,,.,,0,0,0,1,0,0,-9,,.,,It is unknown if the victim's vehicle was damaged in this attack.,0,,,,,,,,,,,,,,.,,,"""ANP leader escapes attempt on life,"" Plus News Pakistan, January 3, 2012.","""Attack on Pakistan party vice-president in northwest - report,"" The News website, Islamabad, January 3, 2012.",,START Primary Collection,-9,-9,0,-9,
2.01201E+11,2012,1,1,,0,,95,Iraq,10,Middle East & North Africa,Baghdad,Baghdad,33.238757,44.339691,2,0,Near the Old Diyala Bridge,"01/01/2012: An explosive device detonated targeting a police patrol near the Old Diyala Bridge in Rashid area, Baghdad governorate, Iraq. The explosion injured five people and damaged a vehicle. No group claimed responsibility for the attack.",1,1,1,0,,.,0,1,0,3,Bombing/Explosion,,.,,.,3,Police,23,Police Patrol (including vehicles and convoys),Iraqi Police Service (IPS),Patrol,95,Iraq,14,Private Citizens & Property,67,Unnamed Civilian/Unspecified,Not Applicable,Civilians,95,Iraq,,.,,.,,,,.,Unknown,,,,,-9,,,,,0,,,-99,0,0,,.,,,.,,,.,,6,Explosives/Bombs/Dynamite,16,Unknown Explosive Type,,.,,.,,.,,.,,.,,.,,0,0,0,5,0,0,1,3,Minor (likely < $1 million),-99,A vehicle was damaged in this attack.,0,,,,,,,,,,,,,,.,,,"""9 persons injured Baghdad attacks,"" Aswat al-Iraq, January 2, 2012.",,,START Primary Collection,-9,-9,0,-9,
2.01201E+11,2012,1,1,,0,,95,Iraq,10,Middle East & North Africa,Baghdad,Baghdad,33.238757,44.339691,2,0,The incident occurred in the Rashid area of the city.,"01/01/2012: Several Katyusha rockets were fired at a housing complex in Rashid area, Baghdad governorate, Iraq. Four people were injured in the incident, and the complex sustained structural damage. No group claimed responsibility for the attack.",1,1,1,0,,.,0,1,0,3,Bombing/Explosion,,.,,.,14,Private Citizens & Property,67,Unnamed Civilian/Unspecified,Not Applicable,Civilians,95,Iraq,,.,,.,,,,.,,.,,.,,,,.,Unknown,,,,,-9,,,,,0,,,-99,0,0,,.,,,.,,,.,,6,Explosives/Bombs/Dynamite,11,"Projectile (rockets, mortars, RPGs, etc.)",,.,,.,,.,,.,,.,,.,Multiple Katyusha rockets were used in the attack.,0,0,0,4,0,0,1,3,Minor (likely < $1 million),-99,Several houses were damaged in this attack.,0,,,,,,,,,,,,,,.,,,"""9 persons injured Baghdad attacks,"" Aswat al-Iraq, January 2, 2012.",,,START Primary Collection,-9,-9,0,-9,
2.01201E+11,2012,1,1,,0,,92,India,6,South Asia,Manipur,Imphal West district,24.817544,93.916458,3,0,,"01/01/2012: A grenade was thrown outside the house of the health minister of Manipur in Imphal West district, Manipur state, India. A civilian was injured and a car damaged by the explosion. No group claimed responsibility for the attack.",1,1,1,0,,.,0,1,0,3,Bombing/Explosion,,.,,.,2,Government (General),18,"Government Personnel (excluding police, military)",Indian Ministry of Health and Family Welfare,Provincial Health Minister: L Jayenta Kumar,92,India,,.,,.,,,,.,,.,,.,,,,.,Unknown,,,,,-9,,,,,0,,,-99,0,0,,.,,,.,,,.,,6,Explosives/Bombs/Dynamite,7,Grenade,,.,,.,,.,,.,,.,,.,,0,0,0,1,0,0,1,3,Minor (likely < $1 million),-99,Two nearby vehicles were damaged in this attack.,0,,,,,,,,,,,,,,.,,,"""India: Unidentified Militants Reportedly Attack Manipur Health Minister's House,"" The Sentinel Online, January 2, 2012.",,,START Primary Collection,-9,-9,0,-9,
2.01201E+11,2012,1,1,,0,,217,United States,1,North America,Florida,Pensacola,30.488927,-87.227633,1,0,,"01/01/2012: An assailant threw an incendiary device at the American Family Planning clinic in Pensacola, Florida, United States. There were no reported casualties in the attack. An individual, identified as Bobby Joe Rogers, claimed responsibility for the incident and stated that he carried out the attack due to his anti-abortion beliefs.",1,1,1,0,,.,0,1,0,7,Facility/Infrastructure Attack,,.,,.,5,Abortion Related,40,Clinics,American Family Planning,Clinic,217,United States,,.,,.,,,,.,,.,,.,,,,.,Unaffiliated Individual(s),,,,,20202,,,,"An individual, identified as Bobby Joe Rogers, claimed responsibility for the incident and stated that he carried out the attack due to his anti-abortion beliefs.",0,,,1,1,1,8,Personal claim,,,.,,,.,,8,Incendiary,20,Gasoline or Alcohol,,.,,.,,.,,.,,.,,.,A firebomb was used in the attack.,0,0,0,0,0,0,1,3,Minor (likely < $1 million),-99,An abortion clinic building was damaged in this attack.,0,,,,,,,,,,,,,,.,,,"""Man arrested, charged in Fla. abortion clinic fire,"" The Associated Press, January 6, 2012.",,,START Primary Collection,-9,-9,0,-9,
2.01201E+11,2012,1,2,,0,,147,Nigeria,11,Sub-Saharan Africa,Borno,Maiduguri,11.833333,13.15,1,0,,"01/02/2012: An explosive device detonated near a mosque in Maiduguri city, Borno state, Nigeria. Four people were killed in the blast. No group claimed responsibility for the attack.",1,1,1,0,,.,0,1,0,3,Bombing/Explosion,,.,,.,15,Religious Figures/Institutions,86,Place of Worship,Unknown,Mosque,147,Nigeria,,.,,.,,,,.,,.,,.,,,,.,Unknown,,,,,-9,,,,,0,,,-99,0,0,,.,,,.,,,.,,6,Explosives/Bombs/Dynamite,16,Unknown Explosive Type,,.,,.,,.,,.,,.,,.,,4,0,0,0,0,0,-9,,.,,It is unknown if the mosque was damaged in this attack.,0,,,,,,,,,,,,,,.,,,"""Gunmen Kills At Least 20 In Northeast Nigeria,"" RTT News (United States), January 6, 2012.","""Four Killed as Blast Rocks Maiduguri Mosque,"" Vanguard, January 3, 2012.",,START Primary Collection,-9,-9,0,-9,
2.01201E+11,2012,1,2,,0,,153,Pakistan,6,South Asia,Sindh,Jamshoro,25.416797,68.274325,1,0,,"01/02/2012: Two gunmen shot and killed the director of student affairs of Sindh University in his car in Jamshoro district, Sindh province, Pakistan. A security guard returned fire, injuring one attacker. No group claimed responsibility for the incident.",1,1,1,0,,.,0,1,0,2,Armed Assault,,.,,.,8,Educational Institution,50,Other Personnel,"University of Sindh, Jamshoro",Director of Student Affairs: Professor Bashir Ahmed Chanur,153,Pakistan,,.,,.,,,,.,,.,,.,,,,.,Unknown,,,,,-9,,,,,0,,,2,0,0,,.,,,.,,,.,,5,Firearms,2,Automatic Weapon,,.,,.,,.,,.,,.,,.,,1,0,0,1,0,1,1,3,Minor (likely < $1 million),-99,It is unknown if the victim's vehicle was damaged in this attack.,0,,,,,,,,,,,,,,.,,,"""Sindh varsity teacher shot dead in Pak,"" The Press Trust of India Limited, January 2, 2012.","""Sindh University official shot dead,"" Daily Times, January 3, 2012.","""Armed   men kill Sindh Varsity's official Bashir Ahmed Chanar,"" Daily Regional Times, January 3, 2012.",START Primary Collection,-9,-9,0,-9,
2.01201E+11,2012,1,2,,0,,153,Pakistan,6,South Asia,Sindh,North Nazimabad,24.933308,67.03334,1,0,Incident occurred in the North Nazimabad area of the city.,"01/02/2012: Two men threw a grenade at the office of Mobilink, a cell phone company, in North Nazimabad town, Sindh province, Pakistan. Four people were injured in the incident, and the store was damaged. No group claimed responsibility for the attack.",1,1,1,0,,.,0,1,0,3,Bombing/Explosion,,.,,.,1,Business,7,Retail/Grocery/Bakery,Mobilink,Office,153,Pakistan,,.,,.,,,,.,,.,,.,,,,.,Unknown,,,,,-9,,,,"The specific motive is unknown; however, there had been a pattern of attacks against cell phone companies in Pakistan.",0,,,2,0,0,,.,,,.,,,.,,6,Explosives/Bombs/Dynamite,7,Grenade,,.,,.,,.,,.,,.,,.,,0,0,0,4,0,0,1,3,Minor (likely < $1 million),-99,An office of the mobile phone company was damaged in this attack.,0,,,,,,,,,,,,,,.,,,"""Four wounded in grenade attack on cellphone franchise,"" Plus News Pakistan, January 4, 2012.","""Four injured as another mobile phone outlet attacked,"" Daily Times, January 3, 2012.","""Disaster strikes again: Attack on Mobilink outlet,"" The Express Tribune, January 3, 2012.",START Primary Collection,-9,-9,0,-9,
2.01201E+11,2012,1,2,,0,,4,Afghanistan,6,South Asia,Helmand,Nawa-i-Barakzayi district,31.379885,64.29944,3,0,,"01/02/2012: Two suicide bombers driving an explosives-laden vehicle and targeting a North Atlantic Treaty Organization (NATO) ceremony were captured by authorities in Nawa-I-Barakzayi district, Helmand province, Afghanistan. No other information is available.",1,1,1,0,,.,0,0,1,3,Bombing/Explosion,,.,,.,4,Military,37,NATO,North Atlantic Treaty Organization (NATO): International Security Assistance Force (ISAF),Ceremony,422,International,,.,,.,,,,.,,.,,.,,,,.,Unknown,,,,,-9,,,,,0,,,2,2,0,,.,,,.,,,.,,6,Explosives/Bombs/Dynamite,15,Vehicle,,.,,.,,.,,.,,.,,.,,0,0,0,0,0,0,0,,.,,,0,,,,,,,,,,,,,,.,,,"""Terrorist   attack foiled in Afghanistan,"" MyNews Interactive Media, January 2, 2012.","""Terrorist attack foiled in Afghanistan,"" Indo-Asian News Service, January 2, 2012.","""2 suspected suicide bombers, explosive-laden car captured in S. Afghanistan,"" Xinhua News Agency, January 2, 2012.",START Primary Collection,-9,-9,1,1,
