"Country/
territory of asylum",Refugees,"People in
refugeelike
situations","Total refugees
and people in
refugee-like
situations","Of whom
assisted by
UNHCR","Asylum seekers
(pending
cases)","Returned
refugees","IDPs protected/
assisted by
UNHCR, incl.
people in IDPlike
situations","Returned
IDPs","Persons under
UNHCR’s
statelessness
mandate",Various,"Total
population
Refugees of concern"
Italy,"64,779",0,"64,779",0,"14,330",0,0,0,470,0,"79,579"
Jamaica,20,0,20,14,0,0,0,0,0,0,20
Japan,"2,581",0,"2,581",793,"4,711",0,0,0,"1,100",0,"8,392"
Jordan,"302,707",0,"302,707","147,594","2,936",0,0,0,0,0,"305,643"
Kazakhstan,564,0,564,370,85,0,0,0,"6,935","3,675","11,259"
Kenya,"564,933",0,"564,933","564,933","41,944",0,"412,000",0,"20,000",0,"1,038,877"
Kuwait,674,0,674,674,829,0,0,0,"93,000",0,"94,503"
Kyrgyzstan,437,"4,504","4,941",724,351,0,"168,600","3,400","15,473",0,"192,765"
Lao,0,0,0,0,0,0,0,0,0,0,0
Latvia,125,0,125,0,172,0,0,0,"280,759",0,"281,056"
Lebanon,"133,538",402,"133,940","133,940","1,912",0,0,0,0,0,"135,852"
Lesotho,34,0,34,0,3,0,0,0,0,0,37
Liberia,"65,901",8,"65,909","65,909",48,"29,472",0,0,0,"1,606","97,035"
Libya,"7,065",0,"7,065","7,065","6,552","1,055","59,425","177,452",0,0,"251,549"
Liechtenstein,102,0,102,0,17,0,0,0,5,0,124
Lithuania,871,0,871,0,76,0,0,0,"4,130",0,"5,077"
Luxembourg,"2,910",0,"2,910",0,"1,239",0,0,0,177,0,"4,326"
Madagascar,9,0,9,0,1,0,0,0,0,1,11
Malawi,"6,544",0,"6,544","6,544","10,120",0,0,0,0,0,"16,664"
Malaysia,"89,210",975,"90,185","90,185","11,650",0,0,0,"40,001","80,000","221,836"
Mali,"13,928",0,"13,928","13,928",240,28,"227,930",0,0,0,"242,126"
Malta,"8,248",0,"8,248",0,767,0,0,0,0,0,"9,015"
Mauritania,"54,496","26,000","80,496","80,496",798,"6,208",0,0,0,0,"87,502"
Mauritius,0,0,0,0,0,0,0,0,0,0,0
Mexico,"1,520",0,"1,520",206,357,0,0,0,7,0,"1,884"
Micronesia,0,0,0,0,0,0,0,0,0,0,0
Monaco,37,0,37,0,0,0,0,0,0,0,37
Mongolia,4,0,4,4,9,0,0,0,220,0,233
Montenegro,"11,198",0,"11,198","11,198",109,0,0,0,"3,383","5,406","20,096"
Montserrat,0,0,0,0,5,0,0,0,0,0,5
Morocco,744,0,744,744,"2,178",0,0,0,0,0,"2,922"
Mozambique,"4,398",0,"4,398","2,586","8,200",0,0,0,0,0,"12,598"
Myanmar,0,0,0,0,0,0,"430,400",0,"808,075",0,"1,238,475"
Namibia,"1,806",0,"1,806","1,806","1,089",0,0,0,0,0,"2,895"
Nauru,0,0,0,0,379,0,0,0,0,0,379
Nepal,"56,264",0,"56,264","41,264",23,0,0,0,0,447,"56,734"
Netherlands,"74,598",0,"74,598",0,"10,420",0,0,0,"2,005",0,"87,023"
New Zealand,"1,517",0,"1,517",0,276,0,0,0,0,0,"1,793"
Nicaragua,129,0,129,86,10,0,0,0,1,0,140
Niger,"50,510",0,"50,510","50,510",108,0,0,0,0,0,"50,618"
Nigeria,"3,154",0,"3,154","3,154","1,042",0,0,0,0,0,"4,196"
Norway,"42,822",0,"42,822",0,"9,354",0,0,0,"2,313",0,"54,489"
Oman,138,0,138,138,20,0,0,0,0,0,158
Pakistan,"1,638,456",0,"1,638,456","1,638,456","3,284",2,"757,996","56,181",0,0,"2,455,919"
Palau,1,0,1,1,2,0,0,0,0,0,3
Panama,"2,429","15,000","17,429","4,434",365,0,0,0,2,0,"17,796"
Papua New Guinea,"4,802","4,581","9,383","2,565",155,0,0,0,0,0,"9,538"
Paraguay,133,0,133,23,10,0,0,0,0,0,143
Peru,"1,122",0,"1,122",123,956,1,0,0,0,0,"2,079"
Philippines,141,0,141,18,32,0,"1,159","336,215","6,015",68,"343,630"
Poland,"15,911",0,"15,911",0,"2,390",0,0,0,"10,825",0,"29,126"
Portugal,483,0,483,0,197,0,0,0,553,0,"1,233"
Qatar,80,0,80,80,57,0,0,0,"1,200",0,"1,337"
Rep. Korea,487,0,487,115,"1,548",0,0,0,179,0,"2,214"
Rep. Moldova,185,0,185,185,75,0,0,0,"1,998",0,"2,258"
Romania,"1,262",0,"1,262",132,35,0,0,0,248,0,"1,545"
Russia,"3,178",0,"3,178","3,178",844,11,0,0,"178,000","9,068","191,101"
Rwanda,"58,212",0,"58,212","58,212","1,477","11,249",0,0,0,89,"71,027"
Saint Kitts and Nevis,0,0,0,0,1,0,0,0,0,0,1
Saint Lucia,2,0,2,2,1,0,0,0,0,0,3
Saint Maarten,3,0,3,3,4,0,0,0,0,0,7
Saint Vincent and the Grenadines,0,0,0,0,0,0,0,0,0,0,0
Sao Tome and Principe,0,0,0,0,0,0,0,0,0,0,0
Saudi Arabia,550,27,577,577,99,1,0,0,"70,000",0,"70,677"
Senegal,"14,237",0,"14,237","14,237","2,333",0,0,0,0,0,"16,570"
Serbia and Kosovo: S/RES/1244 (1999)),"66,370",0,"66,370","9,443",332,193,"227,821",798,"8,500",723,"304,737"
Sierra Leone,"4,204",0,"4,204","4,188",67,0,0,0,0,0,"4,271"
Singapore,3,0,3,0,0,0,0,0,0,0,3
Slovakia,662,0,662,0,194,0,0,0,"1,523",69,"2,448"
Slovenia,176,0,176,0,100,0,0,0,4,0,280
Solomon Islands,0,0,0,0,3,0,0,0,0,0,3
Somalia,"2,264",45,"2,309","2,309","8,465",48,"1,132,963","10,188",0,51,"1,154,024"
South Africa,"65,233",0,"65,233","6,831","230,442",1,0,0,0,0,"295,676"
South Sudan,"202,581",0,"202,581","202,581",35,"2,238","345,670",0,0,0,"550,524"
Spain,"4,510",0,"4,510",0,"2,790",0,0,0,36,0,"7,336"
Sri Lanka,110,0,110,110,263,"1,480","93,482","44,610",0,0,"139,945"
Palestine,0,0,0,0,0,0,0,0,0,0,0
Sudan,"126,218","25,976","152,194","96,367","7,683","19,485","1,873,300","91,554",0,"3,381","2,147,597"
Suriname,0,0,0,0,3,0,0,0,0,0,3
Swaziland,505,0,505,164,422,0,0,0,0,0,927
Sweden,"92,872",0,"92,872",0,"18,014",0,0,0,"9,596",0,"120,482"
Switzerland,"50,747",0,"50,747",0,"21,709",0,0,0,69,0,"72,525"
Syria,"476,506",0,"476,506","67,815","2,222","68,573","2,016,500",0,"221,000",0,"2,784,801"
Tajikistan,"2,248",0,"2,248","2,155","2,139",0,0,0,"2,300",0,"6,687"
The former Yugoslav Republic of Macedonia,750,327,"1,077","1,077",516,0,0,0,905,0,"2,498"
Thailand,"84,479",0,"84,479","84,479","14,580",0,0,0,"506,197",0,"605,256"
Timor-Leste,0,0,0,0,1,0,0,0,0,0,1
Togo,"23,540",0,"23,540","13,643",405,91,0,0,0,0,"24,036"
Tonga,3,0,3,3,0,0,0,0,0,0,3
Trinidad and Tobago,18,0,18,18,7,0,0,0,0,0,25
Tunisia,"1,435",0,"1,435","1,376",340,1,0,0,0,1,"1,777"
Turcs and Caicos Islands,0,0,0,0,22,0,0,0,0,0,22
Turkey,"267,063",0,"267,063","267,063","14,051",0,0,0,780,306,"282,200"
Turkmenistan,46,0,46,46,0,0,0,0,"8,947",0,"8,993"
Uganda,"197,877",0,"197,877","197,877","28,072",20,0,0,0,0,"225,969"
Ukraine,"2,807",0,"2,807",493,"5,082",0,0,0,"35,000",0,"42,889"
United Arab Emirates,631,0,631,631,91,0,0,0,0,0,722
United Kingdom,"149,765",0,"149,765",0,"18,916",0,0,0,205,0,"168,886"
United Rep. of Tanzania,"101,021",0,"101,021","78,794",522,44,0,0,0,"162,256","263,843"
United States,"262,030",0,"262,030",0,"18,966",0,0,0,0,0,"280,996"
Uruguay,181,0,181,83,39,0,0,0,0,0,220
Uzbekistan,176,0,176,176,0,0,0,0,0,0,176
Vanuatu,2,0,2,2,0,0,0,0,0,0,2
Venezuela,"3,644","200,000","203,644","23,637",916,0,0,0,0,0,"204,560"
Vietnam,0,0,0,0,0,0,0,0,"11,500",0,"11,500"
Yemen,"237,182",0,"237,182","237,182","6,483",0,"385,320","106,868",0,0,"735,853"
Zambia,"25,653",0,"25,653","22,792","1,193",2,0,0,0,"23,550","50,398"
Zimbabwe,"4,356",0,"4,356","4,356",436,21,"57,926",0,0,22,"62,761"
Various,0,0,0,0,0,26,0,0,0,0,26
Grand Total,"9,881,538","618,703","10,500,241","6,674,950","936,740","525,941","17,670,368","1,545,486","3,335,777","1,329,927","35,844,480"
