Extracted from the UNHCR Population Statistics Reference Database,United Nations High Commissioner for Refugees,,,,,,,,,,,,
Date extracted: 2016-11-07 16:33:34 +01:00,,,,,,,,,,,,,
,,,,,,,,,,,,,
Year,Country / territory of asylum/residence,Origin,RSD procedure type / level,Total persons pending start-year,of which UNHCR-assisted,Applied during year,statistics.filter.decisions_recognized,statistics.filter.decisions_other,Rejected,Otherwise closed,Total decisions,Total persons pending end-year,of which UNHCR-assisted
2011,Montenegro,Syrian Arab Rep.,G / FA,0,0,1,0,0,1,0,1,0,0
2011,Malta,Syrian Arab Rep.,G / FI,1,0,122,2,45,0,4,51,72,0
2011,Malta,Syrian Arab Rep.,G / AR,0,0,2,0,0,3,0,3,0,0
2011,The former Yugoslav Republic of Macedonia,Syrian Arab Rep.,G / FA,0,0,2,0,0,0,2,2,0,0
2011,Rep. of Moldova,Syrian Arab Rep.,G / FA,4,4,13,2,1,4,0,7,10,10
2011,Morocco,Syrian Arab Rep.,U / FI,0,0,5,0,0,0,0,,5,5
2011,"China, Macao SAR",Syrian Arab Rep.,G / FI,0,0,4,0,0,0,0,,4,4
2011,"China, Macao SAR",Syrian Arab Rep.,G / AR,4,4,0,0,0,0,4,4,0,0
2011,Latvia,Syrian Arab Rep.,G / FI,0,0,16,0,4,0,1,5,11,0
2011,Luxembourg,Syrian Arab Rep.,G / FI,15,0,10,0,0,6,0,6,0,0
2011,Lithuania,Syrian Arab Rep.,G / FI,0,0,1,0,1,0,0,1,0,0
2011,Sri Lanka,Syrian Arab Rep.,U / FA,0,0,1,1,0,0,0,1,0,0
2011,Lebanon,Syrian Arab Rep.,U / RA,0,0,4,0,0,0,0,,4,4
2011,Lebanon,Syrian Arab Rep.,U / FI,127,127,338,60,0,44,51,155,310,310
2011,Lebanon,Syrian Arab Rep.,U / AR,14,14,48,1,0,7,1,9,53,53
2011,Kuwait,Syrian Arab Rep.,U / FI,13,13,9,6,0,0,6,12,10,10
2011,Rep. of Korea,Syrian Arab Rep.,G / FA,0,0,2,0,0,0,0,,2,1
2011,Kyrgyzstan,Syrian Arab Rep.,U / FA,11,11,1,0,0,0,2,2,10,10
2011,Kyrgyzstan,Syrian Arab Rep.,G / FI,1,1,1,0,0,1,0,1,1,1
2011,Kazakhstan,Syrian Arab Rep.,G / FI,0,0,2,0,0,0,0,,2,2
2011,Japan,Syrian Arab Rep.,G / FI,0,0,2,0,0,0,0,,0,0
2011,Jordan,Syrian Arab Rep.,U / FA,287,287,2398,5,0,28,34,67,2618,2618
2011,Italy,Syrian Arab Rep.,G / FI,0,0,541,31,20,57,0,108,0,0
2011,Israel,Syrian Arab Rep.,U / FI,0,0,1,1,0,0,0,1,0,0
2011,Iceland,Syrian Arab Rep.,G / FI,2,0,1,0,1,0,2,3,0,0
2011,Iceland,Syrian Arab Rep.,G / AR,0,0,2,0,0,0,2,2,0,0
2011,Iraq,Syrian Arab Rep.,U / FI,968,968,424,1,0,0,0,1,1391,1391
2011,Iran (Islamic Rep. of),Syrian Arab Rep.,U / FI,1,1,0,0,0,0,1,1,0,0
2011,Ireland,Syrian Arab Rep.,G / SP,10,0,1,0,0,0,0,,11,0
2011,Ireland,Syrian Arab Rep.,G / FI,1,0,11,0,0,5,1,6,6,0
2011,Ireland,Syrian Arab Rep.,G / AR,0,0,1,0,0,0,0,,1,0
2011,India,Syrian Arab Rep.,U / FI,0,0,1,0,0,0,0,,1,1
2011,Indonesia,Syrian Arab Rep.,U / FA,0,0,7,0,0,0,0,,7,7
2011,Hungary,Syrian Arab Rep.,G / FI,8,0,91,1,3,17,50,71,0,0
2011,Croatia,Syrian Arab Rep.,G / FI,4,4,9,0,0,3,6,9,4,4
2011,Croatia,Syrian Arab Rep.,G / AR,0,0,1,0,0,0,1,1,0,0
2011,Greece,Syrian Arab Rep.,G / FI,0,0,352,3,1,146,42,192,0,0
2011,Greece,Syrian Arab Rep.,G / AR,2217,0,0,0,1,0,0,1,0,0
2011,United Kingdom,Syrian Arab Rep.,G / FI,42,0,508,141,6,192,21,360,196,0
2011,United Kingdom,Syrian Arab Rep.,G / AR,57,0,136,47,0,64,9,120,143,0
2011,United Kingdom,Syrian Arab Rep.,G / RA,0,0,4,0,1,0,0,1,0,0
2011,France,Syrian Arab Rep.,G / JR,0,0,0,43,5,4,0,52,0,0
2011,France,Syrian Arab Rep.,G / FI,0,0,119,33,5,18,0,56,0,0
2011,Finland,Syrian Arab Rep.,G / FI,23,0,109,6,27,6,9,48,75,0
2011,Spain,Syrian Arab Rep.,G / FI,139,0,97,0,0,1,3,4,0,0
2011,Egypt,Syrian Arab Rep.,U / FI,1,0,92,1,0,0,7,8,85,0
2011,Egypt,Syrian Arab Rep.,U / AR,1,0,0,1,0,0,0,1,0,0
2011,Ecuador,Syrian Arab Rep.,G / FA,2,2,4,2,0,2,0,4,0,0
2011,Algeria,Syrian Arab Rep.,U / FI,0,0,4,0,0,0,0,,4,4
2011,Dominican Rep.,Syrian Arab Rep.,G / FI,1,1,0,0,0,0,0,,1,1
2011,Denmark,Syrian Arab Rep.,G / FI,111,0,428,343,10,195,0,548,93,0
2011,Denmark,Syrian Arab Rep.,G / AR,155,0,0,100,7,61,6,174,0,0
2011,Germany,Syrian Arab Rep.,G / RA,207,0,802,106,23,1,98,228,798,0
2011,Germany,Syrian Arab Rep.,G / NA,793,0,2634,283,17,362,154,816,2590,0
2011,Germany,Syrian Arab Rep.,G / JR,1690,0,0,0,0,0,0,,1325,0
2011,Czech Rep.,Syrian Arab Rep.,G / FI,0,0,23,0,9,0,0,9,0,0
2011,Cyprus,Syrian Arab Rep.,U / FA,0,0,23,0,0,0,15,15,8,8
2011,Cyprus,Syrian Arab Rep.,G / FI,89,0,187,0,2,56,15,73,203,0
2011,Cyprus,Syrian Arab Rep.,G / AR,153,0,97,5,5,78,28,116,134,0
2011,Costa Rica,Syrian Arab Rep.,G / FI,0,0,1,0,0,0,0,,1,1
2011,China,Syrian Arab Rep.,U / FA,0,0,2,0,0,0,0,,2,0
2011,Switzerland,Syrian Arab Rep.,G / TP,371,0,0,0,140,0,0,140,70,0
2011,Switzerland,Syrian Arab Rep.,G / FI,488,0,688,115,215,42,203,575,996,0
2011,Canada,Syrian Arab Rep.,G / FI,221,0,181,83,0,56,14,153,251,0
2011,Brazil,Syrian Arab Rep.,G / FI,0,0,14,1,0,0,0,1,13,14
2011,Bosnia and Herzegovina,Syrian Arab Rep.,G / FA,2,0,0,0,0,0,0,,2,0
2011,Bahrain,Syrian Arab Rep.,U / FI,0,0,3,0,0,0,0,,3,3
2011,Bulgaria,Syrian Arab Rep.,G / FA,30,0,85,0,5,43,20,68,70,0
2011,Belgium,Syrian Arab Rep.,G / RA,0,0,168,0,0,0,0,,0,0
2011,Belgium,Syrian Arab Rep.,G / FI,224,0,494,63,0,19,14,96,666,0
2011,Azerbaijan,Syrian Arab Rep.,U / FI,0,0,1,1,0,0,0,1,0,0
2011,Azerbaijan,Syrian Arab Rep.,G / FI,0,0,1,0,0,1,0,1,0,0
2011,Austria,Syrian Arab Rep.,G / FA,471,0,422,360,49,83,25,517,456,0
2011,Australia,Syrian Arab Rep.,G / FI,16,0,96,27,0,20,0,47,57,0
2011,Australia,Syrian Arab Rep.,G / AR,2,0,20,9,0,5,0,14,9,0
2011,Armenia,Syrian Arab Rep.,G / JR,0,0,2,0,0,0,0,,2,0
2011,Armenia,Syrian Arab Rep.,G / FI,0,0,6,6,0,0,0,6,0,0
2011,United Arab Emirates,Syrian Arab Rep.,U / FA,9,9,11,5,0,0,9,14,6,6
2012,South Africa,Syrian Arab Rep.,G / FI,0,0,10,2,0,0,0,2,8,0
2012,Yemen,Syrian Arab Rep.,U / FA,24,24,111,1,0,0,3,4,131,131
2012,United States of America,Syrian Arab Rep.,G / IN,116,0,647,316,0,21,89,426,367,0
2012,United States of America,Syrian Arab Rep.,G / EO,0,0,57,46,0,13,53,112,0,0
2012,Ukraine,Syrian Arab Rep.,U / FA,0,0,3,0,0,0,0,,0,0
2012,Ukraine,Syrian Arab Rep.,G / FI,51,51,309,2,16,38,36,92,268,214
2012,Ukraine,Syrian Arab Rep.,G / AR,125,125,111,1,4,19,27,51,185,139
2012,Uganda,Syrian Arab Rep.,G / FA,0,0,1,0,0,0,0,,1,1
2012,United Rep. of Tanzania,Syrian Arab Rep.,J / FI,0,0,1,0,0,0,0,,1,0
2012,Turkey,Syrian Arab Rep.,U / RA,0,0,16,0,0,0,0,,16,16
2012,Turkey,Syrian Arab Rep.,U / FI,190,190,24,10,0,0,20,30,184,184
2012,Turkey,Syrian Arab Rep.,U / AR,15,15,0,0,0,0,15,15,0,0
2012,Tunisia,Syrian Arab Rep.,U / FI,0,0,30,0,0,0,0,,30,0
2012,Thailand,Syrian Arab Rep.,U / FI,8,8,89,11,0,0,26,37,60,60
2012,Togo,Syrian Arab Rep.,G / FI,0,0,8,0,0,0,0,,8,8
2012,Chad,Syrian Arab Rep.,G / FA,0,0,0,0,0,0,0,,0,0
2012,Sweden,Syrian Arab Rep.,G / FI,287,0,7814,1133,3643,47,218,5041,3463,0
2012,Sweden,Syrian Arab Rep.,G / AR,198,0,0,28,232,338,153,751,288,0
2012,Slovenia,Syrian Arab Rep.,G / FI,6,0,33,2,0,13,16,31,8,0
2012,Slovakia,Syrian Arab Rep.,G / FI,0,0,4,1,0,5,2,8,0,0
2012,Serbia and Kosovo (S/RES/1244 (1999)),Syrian Arab Rep.,G / FI,0,0,1,0,0,0,1,1,0,0
2012,Sudan,Syrian Arab Rep.,U / FI,0,0,32,0,0,0,0,,32,32
2012,Saudi Arabia,Syrian Arab Rep.,U / FI,12,12,0,0,0,0,0,,12,12
2012,Russian Federation,Syrian Arab Rep.,G / TA,4,4,114,49,0,46,0,95,23,23
2012,Russian Federation,Syrian Arab Rep.,G / FI,8,8,197,0,0,137,0,137,68,68
2012,Romania,Syrian Arab Rep.,G / FA,3,3,268,63,69,76,3,211,10,10
2012,Qatar,Syrian Arab Rep.,U / FI,0,0,1,0,0,0,0,,1,1
2012,Portugal,Syrian Arab Rep.,G / FI,0,0,22,0,0,0,13,13,9,0
2012,Poland,Syrian Arab Rep.,G / FI,10,0,107,0,6,0,24,30,83,0
2012,Poland,Syrian Arab Rep.,G / AR,0,0,0,0,1,0,0,1,0,0
2012,Philippines,Syrian Arab Rep.,G / FI,2,2,5,0,0,0,2,2,5,5
2012,Panama,Syrian Arab Rep.,G / FI,2,0,0,0,0,0,2,2,0,0
2012,Pakistan,Syrian Arab Rep.,U / FA,2,2,0,2,0,0,0,2,0,0
2012,Oman,Syrian Arab Rep.,U / FI,4,4,0,0,0,0,0,,4,4
2012,New Zealand,Syrian Arab Rep.,G / FI,2,0,13,9,0,3,0,12,3,0
2012,New Zealand,Syrian Arab Rep.,G / AR,0,0,3,3,0,0,0,3,0,0
2012,Nepal,Syrian Arab Rep.,U / FI,0,0,1,0,0,0,1,1,0,0
2012,Norway,Syrian Arab Rep.,G / FI,179,0,327,56,188,12,57,313,221,0
2012,Norway,Syrian Arab Rep.,G / AR,157,0,127,0,159,37,5,201,85,0
2012,Netherlands,Syrian Arab Rep.,G / RA,0,0,121,0,0,0,0,,0,0
2012,Netherlands,Syrian Arab Rep.,G / JR,0,0,0,0,27,1,0,28,0,0
2012,Netherlands,Syrian Arab Rep.,G / FI,231,0,454,46,538,48,0,632,231,0
2012,Nigeria,Syrian Arab Rep.,G / FA,0,0,1,0,0,0,0,,1,1
2012,Niger,Syrian Arab Rep.,G / FI,0,0,6,0,0,0,0,,6,6
2012,Malaysia,Syrian Arab Rep.,U / FI,8,8,76,0,0,0,1,1,83,83
2012,Montenegro,Syrian Arab Rep.,G / FA,0,0,44,0,0,21,16,37,7,2
2012,Malta,Syrian Arab Rep.,G / FI,72,0,147,1,113,0,6,120,139,0
2012,The former Yugoslav Republic of Macedonia,Syrian Arab Rep.,G / FA,0,0,5,0,0,0,4,4,1,1
2012,Mexico,Syrian Arab Rep.,G / FI,0,0,2,2,0,0,0,2,0,0
2012,Rep. of Moldova,Syrian Arab Rep.,G / FI,10,10,73,12,33,0,5,50,33,33
2012,Morocco,Syrian Arab Rep.,U / FI,5,5,839,0,0,0,2,2,842,842
2012,"China, Macao SAR",Syrian Arab Rep.,J / FA,4,4,1,4,0,0,0,4,1,1
2012,Latvia,Syrian Arab Rep.,G / FI,11,0,18,0,13,0,1,14,15,0
2012,Luxembourg,Syrian Arab Rep.,G / FI,0,0,14,5,0,2,0,7,0,0
2012,Lithuania,Syrian Arab Rep.,G / FI,0,0,6,0,1,0,0,1,5,0
2012,Liechtenstein,Syrian Arab Rep.,G / FI,0,0,1,0,0,0,1,1,0,0
2012,Libya,Syrian Arab Rep.,U / FI,0,0,3798,0,0,0,4,4,3794,0
2012,Lebanon,Syrian Arab Rep.,U / RA,4,4,7,0,0,0,0,,11,11
2012,Lebanon,Syrian Arab Rep.,U / FI,310,310,138,33,0,3,230,266,182,182
2012,Lebanon,Syrian Arab Rep.,U / AR,53,53,3,5,0,0,2,7,49,49
2012,Kuwait,Syrian Arab Rep.,U / FA,10,10,1,1,0,0,2,3,8,8
2012,Rep. of Korea,Syrian Arab Rep.,G / FA,4,1,146,0,0,0,0,,146,31
2012,Cambodia,Syrian Arab Rep.,G / FI,0,0,1,0,0,0,0,,1,0
2012,Kyrgyzstan,Syrian Arab Rep.,U / FA,10,10,0,0,0,0,4,4,6,6
2012,Kyrgyzstan,Syrian Arab Rep.,G / FI,1,1,29,0,0,1,1,2,28,28
2012,Kazakhstan,Syrian Arab Rep.,U / FI,0,0,3,0,0,0,0,,3,3
2012,Kazakhstan,Syrian Arab Rep.,G / FI,2,2,11,0,0,3,1,4,9,9
2012,Japan,Syrian Arab Rep.,G / FI,0,0,26,0,6,1,1,8,18,0
2012,Jordan,Syrian Arab Rep.,U / FA,2618,2618,0,12,0,13,2102,2127,491,491
2012,Italy,Syrian Arab Rep.,G / FI,0,0,354,98,103,28,0,229,507,0
2012,Israel,Syrian Arab Rep.,U / FI,0,0,0,1,0,0,0,1,0,0
2012,Iceland,Syrian Arab Rep.,G / FI,0,0,3,1,0,0,0,1,2,0
2012,Iraq,Syrian Arab Rep.,U / FI,1391,1391,0,4,0,0,202,206,1185,1185
2012,Ireland,Syrian Arab Rep.,G / SP,11,0,2,0,2,0,0,2,11,0
2012,Ireland,Syrian Arab Rep.,G / FI,6,0,16,13,0,6,1,20,2,0
2012,Ireland,Syrian Arab Rep.,G / AR,1,0,6,0,0,5,0,5,2,0
2012,India,Syrian Arab Rep.,U / FI,1,1,15,6,0,0,5,11,5,5
2012,Indonesia,Syrian Arab Rep.,U / FA,7,7,49,5,0,0,3,8,48,48
2012,Hungary,Syrian Arab Rep.,G / FI,0,0,145,1,44,15,75,135,0,0
2012,Croatia,Syrian Arab Rep.,G / JR,0,0,1,0,0,1,0,1,0,0
2012,Croatia,Syrian Arab Rep.,G / FI,4,4,86,1,11,1,37,50,40,40
2012,"China, Hong Kong SAR",Syrian Arab Rep.,U / FI,0,0,1,0,0,0,0,,1,1
2012,Greece,Syrian Arab Rep.,G / FI,0,0,275,0,1,150,113,264,0,0
2012,Greece,Syrian Arab Rep.,G / AR,0,0,0,1,8,0,0,9,0,0
2012,Ghana,Syrian Arab Rep.,G / FI,0,0,2,0,0,0,0,,2,2
2012,Georgia,Syrian Arab Rep.,G / FA,0,0,18,0,1,0,1,2,16,16
2012,United Kingdom,Syrian Arab Rep.,G / RA,0,0,16,1,1,3,3,8,0,0
2012,United Kingdom,Syrian Arab Rep.,G / FI,196,0,1289,868,51,195,62,1176,313,0
2012,United Kingdom,Syrian Arab Rep.,G / AR,143,0,168,102,0,60,33,195,76,0
2012,France,Syrian Arab Rep.,G / AR,0,0,30,36,6,5,0,47,0,0
2012,France,Syrian Arab Rep.,G / RA,0,0,8,0,0,0,0,,0,0
2012,France,Syrian Arab Rep.,G / FI,0,0,629,126,117,21,0,264,0,0
2012,Finland,Syrian Arab Rep.,G / FI,75,0,180,71,71,0,28,170,110,0
2012,Estonia,Syrian Arab Rep.,G / FI,0,0,4,0,0,4,0,4,0,0
2012,Spain,Syrian Arab Rep.,G / FI,100,0,255,0,0,15,0,15,320,0
2012,Egypt,Syrian Arab Rep.,U / FI,85,85,0,85,0,0,0,85,0,0
2012,Ecuador,Syrian Arab Rep.,G / FA,0,0,3,0,0,6,0,6,0,0
2012,Algeria,Syrian Arab Rep.,U / FI,4,4,237,0,0,0,5,5,236,236
2012,Dominican Rep.,Syrian Arab Rep.,G / FI,1,1,0,1,0,0,0,1,0,0
2012,Denmark,Syrian Arab Rep.,G / AR,0,0,97,80,11,93,0,184,59,0
2012,Denmark,Syrian Arab Rep.,G / FI,93,0,907,606,55,81,0,742,56,0
2012,Germany,Syrian Arab Rep.,G / RA,798,0,1729,279,1958,10,47,2294,264,0
2012,Germany,Syrian Arab Rep.,G / JR,1325,0,0,0,0,0,0,,2436,0
2012,Germany,Syrian Arab Rep.,G / NA,2590,0,6201,1708,3522,9,268,5507,3286,0
2012,Czech Rep.,Syrian Arab Rep.,G / FI,26,0,68,0,22,0,8,30,70,0
2012,Cyprus,Syrian Arab Rep.,U / FA,8,0,49,0,0,0,45,45,12,0
2012,Cyprus,Syrian Arab Rep.,G / FI,203,0,564,1,1,9,55,66,701,0
2012,Cyprus,Syrian Arab Rep.,G / AR,134,0,99,0,0,0,0,,233,0
2012,Cuba,Syrian Arab Rep.,U / FA,0,0,63,59,0,0,1,60,3,3
2012,Costa Rica,Syrian Arab Rep.,G / FI,1,1,3,0,0,1,1,2,2,2
2012,Colombia,Syrian Arab Rep.,G / FI,0,0,3,1,0,0,0,1,2,2
2012,Cameroon,Syrian Arab Rep.,U / FA,0,0,4,1,0,0,0,1,3,3
2012,China,Syrian Arab Rep.,U / FA,2,0,0,0,0,0,2,2,0,0
2012,Chile,Syrian Arab Rep.,G / FI,0,0,5,0,0,0,0,,5,0
2012,Switzerland,Syrian Arab Rep.,G / FI,996,0,1146,184,206,8,212,610,1665,0
2012,Switzerland,Syrian Arab Rep.,G / AR,189,0,192,0,0,0,0,,27,0
2012,Canada,Syrian Arab Rep.,G / FI,251,0,350,155,0,34,7,196,404,0
2012,Brazil,Syrian Arab Rep.,G / FI,22,14,81,36,0,0,0,36,67,58
2012,Belarus,Syrian Arab Rep.,G / FI,0,0,14,0,0,0,3,3,11,11
2012,Bosnia and Herzegovina,Syrian Arab Rep.,G / FA,2,2,35,0,4,1,6,11,26,26
2012,Bahrain,Syrian Arab Rep.,U / FI,3,3,0,0,0,0,0,,3,3
2012,Bulgaria,Syrian Arab Rep.,G / RA,0,0,13,0,0,0,0,,0,0
2012,Bulgaria,Syrian Arab Rep.,G / FA,70,0,436,0,57,27,52,136,0,0
2012,Benin,Syrian Arab Rep.,G / FI,0,0,1,1,0,0,0,1,0,0
2012,Belgium,Syrian Arab Rep.,G / FI,666,0,798,128,468,2,32,630,938,0
2012,Belgium,Syrian Arab Rep.,G / RA,0,0,206,0,0,0,0,,0,0
2012,Azerbaijan,Syrian Arab Rep.,U / FI,0,0,6,0,0,0,0,,6,6
2012,Azerbaijan,Syrian Arab Rep.,G / JR,0,0,1,0,0,1,0,1,0,0
2012,Azerbaijan,Syrian Arab Rep.,G / FI,0,0,5,0,0,5,0,5,0,0
2012,Austria,Syrian Arab Rep.,G / FA,456,0,915,542,239,100,22,903,694,0
2012,Australia,Syrian Arab Rep.,G / FI,57,0,141,117,0,11,0,128,70,0
2012,Australia,Syrian Arab Rep.,G / AR,9,0,9,11,0,6,0,17,4,0
2012,Armenia,Syrian Arab Rep.,G / JR,2,0,0,0,0,2,0,2,0,0
2012,Armenia,Syrian Arab Rep.,G / FI,0,0,496,130,0,0,26,156,340,340
2012,Argentina,Syrian Arab Rep.,G / FI,0,0,50,40,0,0,1,41,9,0
2012,United Arab Emirates,Syrian Arab Rep.,U / FA,6,6,12,4,0,0,0,4,14,14
2012,Albania,Syrian Arab Rep.,G / FA,0,0,3,0,0,0,0,,3,3
2012,Angola,Syrian Arab Rep.,G / FA,0,0,0,0,0,0,0,,1,0
2012,Afghanistan,Syrian Arab Rep.,U / FA,0,0,1,1,0,0,0,1,0,0
2013,Zambia,Syrian Arab Rep.,G / FI,0,0,4,0,0,0,0,,4,4
2013,South Africa,Syrian Arab Rep.,G / FI,8,0,11,6,0,3,0,9,10,2
2013,South Africa,Syrian Arab Rep.,G / AR,0,0,1,0,0,0,0,,1,0
2013,Yemen,Syrian Arab Rep.,U / FI,131,131,1726,12,0,0,84,96,1761,1761
2013,United States of America,Syrian Arab Rep.,G / EO,0,0,115,52,0,5,108,165,186,0
2013,United States of America,Syrian Arab Rep.,G / IN,370,0,1468,576,0,55,137,768,1192,0
2013,Uruguay,Syrian Arab Rep.,G / FI,0,0,1,0,0,0,0,,1,0
2013,Ukraine,Syrian Arab Rep.,U / FA,0,0,3,0,0,0,3,3,0,0
2013,Ukraine,Syrian Arab Rep.,G / AR,185,139,101,61,0,33,4,98,188,131
2013,Ukraine,Syrian Arab Rep.,G / FI,268,214,367,8,99,105,20,232,403,356
2013,Uganda,Syrian Arab Rep.,G / FA,1,1,7,0,0,0,0,,8,8
2013,United Rep. of Tanzania,Syrian Arab Rep.,G / FI,1,0,5,0,0,0,0,,6,6
2013,Turkey,Syrian Arab Rep.,U / RA,16,0,0,16,0,0,0,16,0,0
2013,Turkey,Syrian Arab Rep.,U / AR,0,0,15,0,0,0,5,5,10,10
2013,Turkey,Syrian Arab Rep.,U / FI,184,184,108,100,0,0,92,192,100,100
2013,Trinidad and Tobago,Syrian Arab Rep.,U / FI,0,0,1,1,0,0,0,1,0,0
2013,Thailand,Syrian Arab Rep.,U / FI,60,60,155,35,0,0,36,71,144,144
2013,Togo,Syrian Arab Rep.,G / FI,8,8,0,0,0,0,7,7,1,1
2013,Chad,Syrian Arab Rep.,G / FA,0,0,13,11,0,0,0,11,2,2
2013,Sweden,Syrian Arab Rep.,G / AR,288,0,1912,71,478,811,1107,2467,334,0
2013,Sweden,Syrian Arab Rep.,G / FI,3463,0,16317,1921,9608,32,671,12232,6474,0
2013,Slovenia,Syrian Arab Rep.,G / FI,8,0,56,2,5,7,48,62,2,0
2013,Slovakia,Syrian Arab Rep.,G / RA,0,0,5,0,0,0,0,,0,0
2013,Slovakia,Syrian Arab Rep.,G / FI,0,0,13,0,2,6,19,27,0,0
2013,South Sudan,Syrian Arab Rep.,U / FI,0,0,1,0,0,0,0,,1,0
2013,Serbia and Kosovo (S/RES/1244 (1999)),Syrian Arab Rep.,G / FI,0,0,24,0,3,0,20,23,1,1
2013,Somalia,Syrian Arab Rep.,U / FI,0,0,8,0,0,0,0,,8,8
2013,Senegal,Syrian Arab Rep.,G / FI,0,0,4,0,0,0,0,,4,4
2013,Sudan,Syrian Arab Rep.,G / FI,0,0,1,1,0,0,0,1,0,0
2013,Sudan,Syrian Arab Rep.,U / FI,32,32,192,0,0,0,0,,224,224
2013,Saudi Arabia,Syrian Arab Rep.,U / FI,12,12,4,4,0,0,0,4,12,12
2013,Russian Federation,Syrian Arab Rep.,G / TA,23,23,1776,0,1191,55,71,1317,482,482
2013,Russian Federation,Syrian Arab Rep.,G / FI,68,68,1073,0,0,710,74,784,357,357
2013,Romania,Syrian Arab Rep.,G / RA,0,0,41,0,0,0,0,,0,0
2013,Romania,Syrian Arab Rep.,G / FI,10,10,1014,311,507,127,33,978,91,91
2013,Qatar,Syrian Arab Rep.,U / FI,1,1,0,0,0,0,1,1,0,0
2013,Portugal,Syrian Arab Rep.,G / FI,9,0,146,0,14,0,133,147,8,0
2013,Poland,Syrian Arab Rep.,G / AR,0,0,0,1,1,0,1,3,0,0
2013,Poland,Syrian Arab Rep.,G / FI,83,0,248,69,20,1,149,239,100,0
2013,Philippines,Syrian Arab Rep.,G / FI,6,0,26,6,0,0,5,11,21,0
2013,Peru,Syrian Arab Rep.,G / FI,0,0,4,3,0,0,1,4,0,0
