name,Mean Parental Income,Median Parental Income,Mean Child Earnings,Median Child Earnings,Mean Kid Earnings (non-zero)
Joliet Junior College,97467.54581,92100,38189.64207,34000,38200
Jones County Junior College,62569.93727,49100,32758.39916,26700,30800
Judson University,112884.7663,83000,38414.74886,35900,40200
Juniata College,104523.1914,92100,55202.69699,49500,51500
Kalamazoo College,190716.3059,139700,67802.98157,53700,59200
Kalamazoo Valley Community College,87515.72661,79600,32465.92019,29000,32700
Kankakee Community College,75771.49598,72400,34953.07838,29500,32600
Kansas City Art Institute,164667.6673,98500,32850.75728,25300,31300
Kansas City Kansas Community College,71122.62727,66500,31822.80758,30400,32800
Kansas State University,118400.4989,92100,54335.87408,45600,49100
Kansas Wesleyan University,86824.24441,66000,41670.21398,41000,42000
Kaskaskia College,64447.38278,59900,33143.23931,27500,31000
Kean University,89084.32862,79200,47872.80197,46900,49900
Keene State College,121387.9032,97700,44113.02474,41500,43100
Keiser University,61606.95203,40500,29539.58835,24800,29400
Kellogg Community College,77261.02735,71600,32076.47098,29100,32800
Kennesaw State University,117402.3434,99900,40928.10581,36600,41200
Kent State University,94457.12201,78400,40439.63673,36800,39700
Kentucky Christian University,83473.00758,77900,31889.85238,33400,33400
Kentucky State University,61212.63732,54000,32159.07369,28200,31100
Kentucky Wesleyan College,88167.26364,82500,46655.01517,38800,40300
Kenyon College,360158.4906,168400,65627.21874,48000,52100
Kern & North Orange County Community College Districts,77913.88572,63600,35529.0356,30000,36300
Kettering University,118244.3909,100100,85388.95225,85400,85600
Keuka College,72568.87699,67700,42738.32154,42100,44000
Keystone College,73812.28425,60200,31921.51899,29900,33300
Kiamichi Technology Center,41781.63862,29800,25526.03219,18000,28200
Kilgore College,70444.44697,59900,34660.80372,28900,33400
King University,175558.9493,76000,47819.18995,37100,40900
King's College,56307.80204,54700,25585.06908,21600,24700
"King's College of Wilkes-Barre, PA",112238.2987,89900,58286.9762,52400,53300
Kingsborough Commmunity College/CUNY,56519.94413,40700,37527.93572,31300,37300
Kirkwood Community College,86485.51625,75000,35665.98417,33900,36100
Kishwaukee College,89514.67068,76400,34353.08494,30700,36300
Klamath Community College,56753.79313,53600,26171.64855,18200,29200
Knox College,132051.7688,99900,51398.62053,44700,46800
Kutztown University Of Pennsylvania,104947.7908,94100,44412.1127,43100,45800
La Roche College,88946.96222,78700,43270.02164,39800,42000
La Salle University,121669.1426,101500,64821.71808,58700,61300
La Sierra University,114744.1669,81300,52419.90745,43200,49600
Labette Community College,64082.93612,57700,33818.75038,30200,32300
Lackawanna College,67098.66686,55200,29205.21347,26400,31300
Lafayette College,290379.4022,156700,90217.33533,75300,79600
Lagrange College,125953.018,100800,41308.71418,39400,41500
Lake Area Technical Institute,64178.47793,56500,38310.87083,35800,38400
Lake Erie College,114317.9966,76700,33984.56867,31200,34600
Lake Forest College,249870.7541,116000,55688.87187,51400,56500
Lake Land College,72397.96729,63800,32832.4739,28500,31900
Lake Michigan College,72165.91994,69800,30038.93914,26900,31300
Lake Region State College,62696.70971,54300,38896.89259,36800,38500
Lake Sumter State College,72138.34002,59100,31992.9962,28100,32200
Lake Superior State University,88844.06647,75500,39689.31482,35700,38200
Lake Tahoe Community College,86911.49272,64600,29165.23549,22100,29700
Lake Washington Institute Of Technology,101788.3454,84100,35766.93378,32800,38100
Lakeland College,95498.1622,75400,41945.04847,39200,41000
Lakeland Community College,84233.33381,73500,33590.20508,30300,33900
Lakes Region Community College,79775.30444,71200,36487.94616,33700,35900
Lakeshore Technical College,75856.44758,73100,34415.93522,32900,35800
Lamar Community College,60040.78611,48500,48530.18177,27600,29600
Lamar Institute Of Technology,62884.57165,52600,45524.89228,34400,40100
Lamar State College - Orange,72770.76078,64100,36730.08128,27200,32700
Lamar State College - Port Arthur,70101.71851,61100,32614.55888,27800,33300
Lamar University,85448.26247,77200,46999.14489,39400,43200
Lancaster Bible College,85907.23777,72000,30195.4872,29500,33500
Lander University,97607.6346,83300,37595.09568,36100,37700
Landmark College,463387.3407,179000,25616.01968,21700,27500
Lane Community College,92604.73145,69300,30018.06671,25300,31400
Langston University,55501.56557,38800,31279.51164,25300,29700
Lanier Technical College,76528.74302,63800,27499.47994,23500,29100
Lansing Community College,89430.02069,80700,32642.19202,30100,34000
Laramie County Community College,81563.38689,69000,34619.54266,31900,35600
Laredo Community College,41084.45408,27400,33508.65211,28700,32900
Las Positas College,138317.9217,109500,43559.75697,37300,44500
Lasell College,124633.0267,74300,43003.74647,45300,46200
Lassen College,75203.63296,64200,29902.41728,23300,33900
Latter Day Saints Business College,99330.52779,83900,29154.60361,29900,35900
Lawrence Technological University,109074.7454,95100,59675.90752,54600,58300
Lawrence University Of Wisconsin,190990.8303,111600,51106.66516,44500,47400
Le Cordon Bleu College Of Culinary Arts In Chicago,86131.95455,72100,32759.71334,30200,32200
"Le Cordon Bleu College Of Culinary Arts of Dallas, TX",141942.2082,64800,32004.013,30200,32900
"Le Cordon Bleu College Of Culinary Arts of Pasadena, CA",98614.81078,64800,31692.84783,27600,33100
"Le Cordon Bleu College Of Culinary Arts of Scottsdale, AZ",84844.4942,67200,32064.95713,29700,33300
"Le Cordon Bleu College Of Culinary Arts of Tucker, GA",85374.98587,66800,29257.58003,26800,31700
Le Moyne College,103118.672,89100,57473.78892,49400,52300
Lebanon Valley College,122939.3391,92700,53326.87375,49000,49500
Lee College,70773.38923,63300,43372.48736,34400,42000
Lee University,101781.6767,78600,36693.30738,32400,37000
Lees-Mcrae College,120698.0392,83200,37761.09409,33100,35300
Lehigh Carbon Community College,78683.13003,70000,33362.09507,30100,34400
Lehigh University,291534.8066,138300,103248.7495,81200,85600
Lenoir Community College,59802.19614,45900,27536.67624,24400,27900
Lenoir-Rhyne University,137077.3016,91600,44797.84258,39400,42600
Lesley University,160368.5921,96100,33427.68389,29500,35600
Letourneau University,116460.607,85700,56526.8985,49300,56400
Lewis & Clark College,234572.6135,119100,49125.55687,41600,45200
Lewis And Clark Community College,75870.88395,70500,32119.9593,28100,33600
Lewis University,109028.2981,93700,56018.13997,49300,52700
Lewis-Clark State College,77156.0674,66000,36762.16309,31800,34900
Lim College,109684.0966,80700,42267.19854,38000,45300
Limestone College,104596.1864,73900,40063.05698,36800,39000
Lincoln Christian University,90916.87093,73800,30123.27873,27700,31600
Lincoln College,119789.3926,81800,31209.91127,27600,30300
Lincoln College Of New England,80374.39154,75000,29802.19031,29100,30900
Lincoln Land Community College,80478.57169,72700,33226.09894,30000,33600
Lincoln Memorial University,76939.57193,69000,42750.37592,40600,46100
Lincoln Technical Institute And Lincoln College Of Technology,61746.73545,47200,33280.40498,27800,33200
Lincoln Technical Institutes And Lincoln College Of Technology,50034.96172,35400,31595.49342,27300,31800
"Lincoln University of Jefferson City, MO",70093.40055,57000,32029.49194,31300,32800
"Lincoln University of Lincoln University, PA",59247.74072,47500,39207.57014,37400,40900
Lindenwood University,104526.0866,91100,42252.82128,38500,40300
Lindsey Wilson College,58522.2864,49100,30024.20509,27500,30100
Linfield College,151461.1357,105500,55995.613,50100,52400
Linn State Technical College,68328.11671,66800,43802.71617,40600,42500
Linn-Benton Community College,83618.10189,71900,32642.82404,28400,34400
Lipscomb University,198450.3994,106400,50969.33797,40300,43800
Lively Technical Center,64204.71985,53700,26060.50218,22800,26300
Lock Haven University Of Pennsylvania,84484.89042,76600,41677.29739,39600,41500
Lone Star College-North Harris,93670.2311,75900,38407.15152,33700,39600
Long Beach City College,64488.08889,49900,33103.55944,28100,34400
Long Island University System,104866.2598,59000,46372.9235,39900,44400
Longwood University,124142.6006,105700,45639.82162,41800,43100
Loras College,133681.9858,94100,55843.3145,46300,47700
Lord Fairfax Community College,93519.93958,74000,34996.87798,33200,36700
Lorenzo Walker Institute Of Technology,53226.32128,40000,21055.68167,18300,24700
Los Angeles Community College District,62361.81124,41400,33390.78677,28400,34000
Los Rios Community College District,85024.17192,71900,35325.04732,31200,36700
Louisiana College,94438.74917,84500,44813.68382,40500,43100
Louisiana State University In Shreveport,79906.84337,66500,40715.20453,35600,39200
Louisiana State University System,127727.5356,94300,57413.20401,44000,48300
Louisiana Tech University,99553.14424,81500,51662.01203,42200,45800
Lourdes University,82712.01563,81600,30750.22656,27600,31100
Lower Columbia College,76279.90599,72200,33833.5418,28400,36300
Loyola Marymount University,314268.5526,131800,66238.50992,56200,62200
Loyola University Chicago,156686.2438,98600,66501.64181,53500,58700
Loyola University Maryland,246805.2241,151200,87061.61625,69800,75100
Loyola University New Orleans,182145.9227,113800,50717.32787,42800,46100
Lubbock Christian University,81575.27832,71900,42778.49986,37900,41200
Luna Community College,38609.84485,27700,23374.70379,19900,26600
Lurleen B. Wallace Community College,58038.21964,44200,31801.71798,23000,28800
Luther College,138050.9945,101300,53873.02315,46300,49600
Luzerne County Community College,66437.59156,61100,31535.09206,29200,32500
Lycoming College,110366.384,83600,51696.32871,47100,49600
Lynn University,435533.1928,149800,42124.54008,28300,38300
MCP Hahnemann And Drexel Universities,127859.5561,94100,70178.55617,65500,70200
MCPHS University,99969.66428,83300,107741.8362,112700,115300
MTI College,56079.00999,48400,31827.19797,32300,39000
MacMurray College,78056.89262,75500,40612.97082,38600,41400
Macalester College,190321.2447,115500,56736.68291,47000,49600
Macomb Community College,104847.7577,93000,35867.80732,32200,36900
Madison Area Technical College,87377.62941,74800,32174.58917,30400,33400
Madison Media Institute,88400.33434,80400,31531.08674,34200,37700
Madonna University,106855.6931,100700,43276.49939,41400,43800
Maine Maritime Academy,105901.4885,85300,91331.5345,75900,81800
Malone University,96557.35394,79000,39823.23184,37500,39500
"Manchester Community College of Manchester, CT",87704.21388,81700,37142.28051,35200,39100
"Manchester Community College of Manchester, NH",90602.2342,79400,36078.14749,32800,36600
Manchester University,93671.6089,81400,44560.43638,39900,42500
Manhattanville College,158690.2927,95400,57159.67572,48900,53500
Manor College,87318.25028,78400,36440.46045,33700,41600
Mansfield University Of Pennsylvania,78837.64737,70300,40327.86707,38400,41100
Maranatha Baptist University,85475.44218,68000,32941.03795,24200,30600
"Marian University of Fond Du Lac, WI",99092.8412,80900,40394.32172,38900,40900
Marietta College,107997.0706,85300,64584.5138,46800,49000
"Marinello School Of Beauty, Xenon International Academy, International School Of Skin And Nailcare And Hair Professionals Academy",71783.10046,44200,15921.03343,11400,17500
Marion Technical College,66558.90023,62400,31788.31001,29800,33600
Marist College,150139.7228,119300,69629.66282,59500,62600
Marquette University,208558.6515,124800,78047.21898,60100,63500
Mars Hill University,90697.00203,72900,36688.90402,34300,37600
Marshall University,92498.5931,76400,41528.67147,35400,39200
Marshalltown Community College,71407.30479,68500,36955.59169,35400,38700
Martin Community College,51348.22933,37700,23966.72174,22200,25000
Martin Methodist College,60384.85401,62000,33796.81616,37000,38400
Mary Baldwin College,98419.53387,81100,38948.43965,38700,41900
Maryland Institute College Of Art,175654.4553,117100,37627.49088,31300,37700
Marymount California University,298825.9513,104900,34001.24075,31300,35300
Marymount Manhattan College,182420.3035,91100,44779.54585,35800,41800
Marymount University,157915.8234,91800,49203.4754,47000,52200
Maryville College,100031.3058,84900,46265.2024,37700,39900
Maryville University Of Saint Louis,114975.1812,92900,50600.60954,44600,48100
Marywood University,99943.37028,80600,42903.32464,40500,43600
Massachusetts Bay Community College,115748.1769,76800,35527.0521,31800,37900
Massachusetts College Of Art And Design,123966.8098,98300,37527.61468,32700,38300
Massachusetts College Of Liberal Arts,94130.05305,81400,40879.06279,36900,39100
Massachusetts Institute Of Technology,242345.7549,141000,168951.4778,98500,104600
Massachusetts Maritime Academy,148180.062,105300,92945.79729,84800,88200
Massasoit Community College,85426.16775,78300,34849.05194,31500,36400
Master's College & Seminary ,142117.1266,87700,46047.74651,30700,44900
Mayland Community College,54350.17325,47400,22405.37376,19400,23300
Maynard A. Traviss Career Center,57052.26489,44600,27850.09233,22000,28900
Mayville State University,74993.64929,68300,41996.5863,40000,40600
McDaniel College,141780.5287,108100,56273.79824,52100,54400
McDowell Technical Community College,54833.30154,52200,24777.40324,22400,26500
McHenry County College,110710.9732,95900,36659.7163,33300,36700
McKendree University,99608.1955,79900,46573.18152,43500,45300
McLennan Community College,69988.31968,54700,32454.44816,28400,31900
McMurry University,87659.23145,78000,47348.44527,39900,41800
McNally Smith College Of Music,119788.2671,95300,34485.03749,27400,33500
McPherson College,80834.34668,70000,44282.97455,37200,39100
Mcneese State University,86315.25513,75800,43302.93998,36300,39700
Medaille College,82225.44566,72100,39134.71606,35700,37900
Medtech College,42425.56815,35600,22720.80691,17100,23900
Mendocino College,78956.25672,51900,27068.71581,21400,30600
Merced Community College,59779.38904,48400,30197.23811,25400,31600
Mercer County Community College,98393.73543,80400,37740.28568,32700,36500
Mercer University,129950.7785,90000,53171.84752,46400,50500
Mercy College,69242.91021,50700,35252.92768,31100,37200
Mercyhurst University,102211.4953,87400,47051.68626,40900,42500
Meredith College,167365.0893,107700,39904.12254,35500,39200
Meridian Community College,56043.56214,41300,30228.36775,25100,27200
Merrimack College,140250.9202,109700,59772.7093,56700,59200
Messiah College,127830.3154,97100,50693.68464,44100,49600
Methodist University,84306.98982,68600,43386.46403,39300,41700
Metro Business College,51183.05553,38400,17520.24084,14100,20800
"Metropolitan Community College of Kansas City, MO",82128.57716,73900,35464.62282,30700,34000
"Metropolitan Community College of Omaha, NE",83699.42251,72700,32924.79135,29900,32900
Metropolitan State University Of Denver,108589.5505,87500,39496.73918,36500,40000
Miami Dade Community College System,58307.2278,37000,34556.95102,31300,35200
Miami International University Of Art & Design,78835.54796,46300,31022.75818,22900,28800
Miami University,200367.445,118800,65845.76083,50400,54100
Michigan State University,157147.031,120400,63681.2696,52600,56100
Michigan Technological University,117206.9707,98700,68925.34194,65900,68200
Mid-Plains Community College,65639.15702,57000,32317.14838,29400,32400
Mid-South Community College,50871.69496,38000,23760.01917,20000,24600
Mid-State Technical College,72906.49635,67700,33033.34732,31500,34100
Midamerica Nazarene University,102884.25,82900,37846.50905,33800,38400
Middle Georgia State College,74319.09759,62700,33297.85523,31600,34200
Middle Tennessee State University,107327.1956,89100,41776.87994,37100,40000
Middlebury College,551968.1541,219600,98359.42874,61800,66100
"Middlesex Community College of Bedford, MA",99363.34578,82500,36356.59915,34100,38700
"Middlesex Community College of Middletown, CT",91458.08242,82900,33092.91824,30000,34200
Middlesex County College,89922.42598,78900,39739.54392,35600,40800
Midland College,72143.74669,58600,43701.34241,35900,42100
Midland University,89194.88107,73300,52693.19546,51500,51500
Midlands Technical College,75037.47083,61000,29062.36504,26400,29800
Midred Elley College And Austin's School Of Spa Technology,51268.00285,37700,17774.58514,12700,18700
Midwest Technical Institute,56525.75737,47900,31062.44762,24700,25600
Midwestern State University,83383.30078,70800,42474.74617,38000,41300
"Milan Institute of Palm Desert, CA",47744.54783,35800,15524.98856,19000,19000
"Milan Institute of Sparks, NV",54411.34301,39300,21949.15475,20100,27100
Miles Community College,61632.16274,51800,36638.49635,30500,37900
Miller-Motte Technical College & McCann School Of Business & Technology,49657.28479,41300,23668.55563,22000,25000
Millersville University Of Pennsylvania,108482.1081,93500,46838.16817,45400,48000
Milligan College,130315.0383,85900,42551.04151,36700,39100
Millikin University,115133.7944,96500,51966.2288,46500,48100
Mills College,167050.5976,79100,47127.57476,40200,44800
Millsaps College,190727.7949,110600,56124.71273,44600,51000
Milwaukee Area Technical College,72196.76604,64100,30182.94156,27400,31400
Milwaukee Institute Of Art & Design,111424.4244,89200,33543.57662,32200,35800
Milwaukee School Of Engineering,124040.1779,91700,73211.0197,72700,73900
Mineral Area College,60475.57576,56300,28749.88388,26100,29100
Minneapolis Business College,67014.14682,77500,37344.25188,41400,41400
Minneapolis College Of Art & Design,138343.4442,92900,35806.38634,28000,35600
Minnesota School Of Business,94506.8231,73800,33254.96903,29900,33500
"Minnesota State University System, Century And Various Other Minnesota Community Colleges",88906.11874,77500,39807.06897,36900,39200
Minot State University,74068.44281,64400,41593.46739,38000,40600
Miracosta College,108409.5196,71200,34171.06008,26500,33900
Misericordia  University,107451.2273,85000,49073.06695,50200,51600
Mississippi College,123844.5149,93400,51369.83256,43000,45500
Mississippi Delta Community College,46309.01565,30100,26034.411,20800,25000
Mississippi Gulf Coast Community College,67122.77041,56800,32407.66892,27100,32300
Mississippi State University,119107.3875,90700,56229.54463,44100,47200
Mississippi University For Women,77320.90643,68500,37409.03465,31900,35600
Mississippi Valley State University,41338.79799,28800,27428.91509,24900,25700
Missouri Baptist University,99525.44763,85100,37089.30335,34600,38100
Missouri College,49224.76692,42200,22544.10531,19400,23300
Missouri Southern State University,78743.91412,63800,37125.43173,33200,36500
Missouri State University,107049.0061,87900,46405.29191,39800,42300
Missouri State University - West Plains,54408.81647,43100,30523.70877,28200,28700
Missouri Valley College,74198.88808,63500,39804.66812,38100,39700
Missouri Western State University,76115.88527,68300,38429.61431,35100,36900
Mitchell College,180719.8952,98200,35998.1063,28500,32800
Mitchell Community College,75533.3903,64700,26550.33184,24100,28700
Mitchell Technical Institute,69268.23938,59000,47342.70988,41400,42400
Moberly Area Community College,69534.94462,59600,29831.30184,26400,29500
Mohave Community College,56676.10854,45400,26922.10481,20300,27200
Mohawk Valley Community College - SUNY Office Of Community Colleg,67192.78971,58300,32302.19059,28700,32600
Monmouth College,110877.3681,88100,47293.54982,41500,43600
Monmouth University,153799.3427,110000,56012.12706,51900,55000
Monroe College,33202.24348,28200,25011.07516,20400,25900
Monroe Community College,86939.69085,77200,33958.08164,30900,34400
Monroe County Community College,92759.91764,84800,36139.33023,32800,36200
Montana State University - Billings,78631.74958,66000,36854.32524,31500,34900
Montana State University - Northern,67140.27201,56100,37910.99432,33600,37800
Montana State University Bozeman,120835.0298,84500,49189.11331,40400,44200
Montana Tech Of The University Of Montana,74936.85047,68300,61126.05859,46700,52500
Montcalm Community College,66213.10611,63200,26373.26394,20600,25800
Montclair State University,102911.4088,86600,53779.79141,50000,52800
Monterey Peninsula College,95532.72385,66100,34167.75012,27200,34900
Montgomery College,99038.23135,69000,39560.5387,36100,41800
Montgomery Community College,58065.27619,51000,22878.31045,21000,26100
Montgomery County Community College,98504.89754,85200,35392.71198,32800,37000
Moody Bible Institute,91256.33023,78900,33111.48264,27400,34500
Moore Norman Technology Center School District No. 17,65607.30647,61500,28801.72176,25100,28800
Moraine Park Technical College,79227.62971,74900,36006.75365,34000,36200
Moraine Valley Community College,96941.5433,87200,39896.8557,36100,41100
Moravian College,129114.4306,97100,57845.9722,56200,57400
Morehead State University,72214.07813,65700,37495.36328,33000,36700
Morehouse College,136263.7035,81800,55799.97201,49800,52600
Morningside College,82035.80155,67100,43675.72012,39400,41300
Morton College,57927.97458,49700,32053.62814,28500,32900
Motlow State Community College,73893.4438,64700,30836.2989,28000,31500
Moultrie Technical College,40448.71144,28800,19493.79606,15500,18300
Mount Aloysius College,74616.27872,57700,42991.11845,40900,42700
Mount Holyoke College,194481.1162,108700,54597.66401,48900,52300
Mount Hood Community College,81952.66067,75000,32858.60214,30100,34600
Mount Ida College,96558.23165,64900,34100.82514,30000,36100
Mount Marty College,77565.32795,67100,43047.47421,35000,35200
Mount Mary University,91833.02856,80800,37632.27246,34300,36400
Mount Mercy University,92016.75724,76500,48468.16581,43600,44000
Mount Saint Mary College,109246.9189,91700,51703.11837,47100,50100
Mount Saint Mary's University,146819.9615,111700,62547.13775,52500,57000
Mount San Antonio College,76053.56088,62800,36643.54248,30800,37000
Mount St. Mary's College,67906.38965,48500,48089.91409,44900,48500
Mount Vernon Nazarene University,94553.54348,77200,38855.70941,34800,38500
Mount Wachusett Community College,80260.45608,71400,31955.14569,28900,33800
Mountain Empire Community College,52755.37216,43000,23256.4634,19600,25500
Mt. San Jacinto College,81050.92463,71000,31223.54659,25100,32900
Muhlenberg College,268464.8323,150300,73782.81092,60100,62700
Multnomah University,102629.9543,80500,31003.8788,24700,34400
Murray State University,98660.11332,79800,41941.1159,36100,39100
Musicians Institute,116335.8796,77400,25945.04779,15500,21400
Muskegon Community College,81025.3529,73400,31780.20133,29100,33000
Muskingum University,107087.1139,83100,47272.17211,41800,43400
NHTI  - Concord's Community College,87524.17852,76600,39916.38862,37200,39600
Napa Valley College,86412.95092,75000,37194.80158,33700,38800
Nash Community College,66139.2577,57600,28502.209,25900,29200
Nashua Community College,92566.07701,81500,36021.23042,33500,38600
Nashville State Community College,84263.70204,65400,31607.71427,28400,31900
Nassau Community College,96741.19955,80100,42518.75172,36000,42100
National College,43822.68749,39100,18559.32701,15500,19900
National College Of Business And Technology,52785.01015,44400,19840.62117,19500,22900
National Park Community College,60201.63909,48900,25490.04655,21700,26400
Nationwide Beauty Academy,67115.39024,65000,20869.79147,17300,27100
Naugatuck Valley Community College,85945.57142,75300,35884.48154,33800,37200
Navarro College,68070.42786,56000,34696.02307,30900,34900
Nazareth College Of Rochester,125568.3928,100500,47696.977,45400,47400
Nebraska Wesleyan University,118685.4892,88200,56404.39643,49000,50100
Neumann University,100182.2506,85200,43074.65695,40800,44100
Nevada State College,114253.7726,88500,35911.26564,32900,40300
New Castle School Of Trades,57882.89623,50400,33818.90719,28700,35800
New England College,161720.5338,94400,39414.0518,36600,39100
New England Culinary Institute,139945.0575,91600,35646.1213,33100,35900
New England Institute Of Art ,96417.0907,73500,37802.621,33100,36900
New England Institute Of Technology,86428.23506,71400,41554.99769,39200,42900
New Jersey City University,65974.6429,51600,43979.9705,41200,45300
New Jersey Institute Of Technology,96139.37753,84000,74319.956,71600,74200
New Mexico Highlands University,63212.54701,48500,34194.26101,33600,36900
New Mexico Institute Of Mining & Technology,101146.031,91800,64946.66744,55000,63400
New Mexico Junior College,64578.32568,50000,39279.07177,31300,38000
New Mexico Military Institute,104242.9845,75600,56607.40123,49300,56400
New Mexico State University,72136.26509,59300,39274.29933,33500,37800
New River Community College,86112.28781,68000,32729.0077,30500,33100
"New School, The",255928.3886,95800,44456.63543,32800,42700
New York City College Of Technology Of The City University Of New,44382.75899,33500,39930.48504,37000,40600
New York Institute Of Technology,109147.5255,78500,58599.50638,49900,54900
New York University,294568.5741,130500,88411.62978,58100,64700
Newberry College,104293.1713,80400,38465.39965,37100,38200
Newman University,126922.1675,91400,49570.56801,45700,47900
Niagara County Community College,77415.73787,71900,33488.00122,30100,33400
Niagara University,115038.437,92300,50323.59811,46500,47900
Nicholls State University,82153.8438,69800,44280.84889,38900,42200
Nichols College,116099.6922,95300,56947.76356,56800,59300
Nicolet Area Technical College,70251.93836,63100,29818.8204,25700,29000
Norfolk State University,57969.45947,48000,36633.42487,34400,36200
North Arkansas College,56690.36981,45000,27957.37248,25400,29900
North Carolina Agricultural & Technical State University,66564.58796,52600,39435.81197,34300,36400
North Carolina Central University,60995.51342,45600,33960.20153,32300,35000
North Carolina State University,154271.3437,111400,63117.29576,52300,55900
North Carolina Wesleyan College,88618.65881,63100,37552.88035,34100,37300
North Central College,143799.5912,103700,55786.41516,48800,51200
North Central Kansas Technical College,74786.25504,58900,44439.22062,40600,42400
North Central Michigan College,79873.58937,60500,28978.89333,24700,28800
North Central Missouri College,60546.97664,57900,28831.26982,29300,30700
North Central State College,65564.478,60100,28848.56468,26300,29800
North Central Texas College,92210.72963,79800,36216.61883,32500,37000
North Central University,85083.24177,74000,33815.02763,28700,34900
North Country Community College,68275.68859,61000,31146.67058,24900,28100
North Dakota State College Of Science,70772.02253,63200,50000.09357,43500,46300
North Dakota State University - Main Campus - Fargo,97463.81396,81900,59292.37843,50600,53100
North Florida Community College,58487.76362,48800,28600.74159,26500,29500
North Georgia Technical College,58442.54705,42300,24276.83043,17700,23400
North Greenville University,94195.60956,77100,36235.68897,32200,37400
North Idaho College,86447.23163,59600,31136.3279,26700,30900
North Iowa Area Community College,68533.4043,62100,34606.31318,33300,36000
North Park University,120479.3631,87200,43719.82916,40200,44700
North Seattle College,89598.73769,71200,36019.83176,28800,35600
North Shore Community College,83112.6157,72000,32586.4954,29300,34500
Northampton County Area Community College,82729.70385,74900,33826.42491,30200,34100
Northcentral Technical College,74459.95824,69200,35865.87906,34000,36100
Northeast Alabama Community College,58926.65327,53200,32075.12386,30400,35800
Northeast Community College,60696.83141,54300,36162.37853,33800,35500
Northeast Iowa Community College,72071.32867,64400,34496.484,32800,35000
Northeast Mississippi Community College,65116.75255,57200,35827.09875,31500,35100
Northeast State Community College,67862.71288,60200,27778.02781,24100,28400
Northeast Texas Community College,60902.81641,51100,32636.38324,28500,32700
Northeast Wisconsin Technical College,81895.48022,74500,37163.464,33900,36200
Northeastern Illinois University,67345.97938,53300,37860.10075,34900,39100
Northeastern Junior College,74604.52215,61100,38223.6967,31600,35600
Northeastern Oklahoma A & M College,56321.49892,52800,33638.00656,29400,32300
Northeastern State University,71869.55859,62100,38446.80072,33800,35800
Northeastern Technical College,54520.09753,42200,25252.86108,21800,27200
Northeastern University,169872.4049,108300,70815.75444,61800,65600
Northern Essex Community College,81019.68936,70700,33212.63501,31300,35000
Northern Illinois University,112760.1458,97700,52466.271,48000,50900
Northern Kentucky University,102154.6908,86400,39975.40725,36900,39200
Northern Michigan University,96334.6103,81000,39208.03165,35800,39000
Northern Oklahoma College,70758.58425,63000,34816.1671,29800,34700
Northern Virginia Community College,104177.4898,86200,41326.55892,37300,42800
Northern Wyoming Community College District,76549.24514,65300,36219.92138,30800,35600
Northland College,112573.0517,74600,32826.59904,31000,32700
Northland Pioneer College,57245.83317,46800,24423.65269,17800,24600
Northwest - Shoals Community College,62865.92818,56300,30914.05468,26800,30300
Northwest Arkansas Community College,84431.5849,65900,34333.88828,29500,34900
Northwest College,60659.97496,60800,34195.97978,28300,33700
Northwest Florida State College,77096.98279,62200,31705.23697,29000,33400
Northwest Iowa Community College,74053.16262,62900,42043.96161,38900,41300
Northwest Kansas Technical College,61772.19501,57100,41156.84922,35300,43100
Northwest Mississippi Community College,65531.41167,51700,30860.07053,27200,30800
Northwest Missouri State University,94464.34953,80900,45896.96075,41500,43000
Northwest Nazarene University,105627.5699,83800,41743.7398,34300,39400
Northwest State Community College,76535.1079,69200,32229.06196,28800,32700
Northwest University,102250.2116,80400,38779.797,38000,42200
"Northwestern College of Bridgeview, IL",50062.58568,43300,29092.43926,25800,30100
"Northwestern College of Orange City, IA",94237.08416,75300,42844.28551,38900,40700
Northwestern Connecticut Community College,81155.06239,78400,29780.23919,29000,31300
Northwestern Michigan College,84315.36378,69400,31912.19638,26800,30800
Northwestern Oklahoma State University,65991.85817,61400,43008.36831,35500,38300
Northwestern State University,69548.56265,57700,37917.07211,32900,36900
Northwestern University,350349.7654,168500,106181.6748,72600,78600
Northwood University,154346.5774,86000,56314.553,45400,49100
Norwalk Community College,114727.3036,70200,36576.63795,31700,36100
Norwich University,108692.2225,88200,57529.35959,54600,57800
Notre Dame Of Maryland University,98366.31953,81100,47617.31728,45900,50500
Nova Southeastern University,101304.9714,64000,56746.05487,43500,48100
Nyack College,75695.48291,58400,34110.97461,31000,36400
Oakland City University,65707.51879,60300,29499.67124,27500,35100
Oakland Community College,114306.8446,93400,32098.64935,27600,33200
Oakland University,137901.6996,110600,48298.5571,43600,47300
Oakton Community College,100383.645,75500,37802.77984,33500,39000
Oberlin College,265150.7119,127100,46274.05327,38900,42100
Occidental College,254125.5501,122400,58066.14856,49000,53400
Ocean County College,90997.69341,81600,37615.59641,32800,38100
Odessa College,61187.68635,50900,42225.4967,34800,40100
Ogeechee Technical College,55462.18235,41600,24778.49548,19600,25500
Oglethorpe University,138330.0944,98600,49508.95319,42700,49100
Ohio Dominican University,81938.66217,73700,38785.11199,37100,39200
Ohio Northern University,107070.5951,91300,76669.20106,63200,64400
Ohio University,123539.9713,90900,49335.95902,42000,45200
Ohio Wesleyan University,198230.1696,103000,57465.29992,46500,49000
Ohlone College,107335.2981,91100,44142.78025,38500,44800
Okefenokee Technical College,45798.2796,35300,21379.99087,16400,20100
